,RMSE,MAE
SVD,0.8523392334814511,0.6552449287507133
SVD++,0.8394070461159483,0.6449922061940594
KNNBasic,0.9504007351447351,0.7427705731121159
KNNWithMeans,0.8694108285589945,0.668241548336776
KNNWithZScore,0.8754268971073477,0.6716750593171674
